node,degree_centrality_850,betweenness_centrality_850,closeness_centrality_850,clustering_coefficient_850
NEDD8-MDP1,5.219751539826704e-05,0.0,0.0001373881451865,0.0
Q8WVP7,0.0001043950307965,1.5540010296758638e-05,0.0001683414222441,0.0
P01730,0.007046664578766,0.0016167535807014,0.0002253307331719,0.1241569928137092
Q96A49,0.0,0.0,0.0,0.0
Q9P2P5,0.0,0.0,0.0,0.0
Q96AQ7,0.0004175801231861,4.848604240211872e-06,0.0001663246332344,0.3928571428571428
Q96A61,0.0,0.0,0.0,0.0
O95801,0.0003653826077878,2.1613883214281365e-05,0.0001973365447787,0.238095238095238
Q9NPA8,0.0019835055851341,2.067016423483355e-05,0.0001934132810952,0.5120910384068279
Q8WTT2,0.005480739116818,1.2295103113800628e-05,0.0001886670715631,0.7269230769230769
O95793,0.000208790061593,1.2880348054280656e-06,0.0001780457501475,0.1666666666666666
Q9BRB3,0.0006263701847792,4.312656170061592e-07,0.0001282927529163,0.6818181818181818
Q9NQ90,0.0,0.0,0.0,0.0
P54257,0.0005219751539826,1.7565694181376212e-05,0.0001850437144692,0.1777777777777777
O75387,0.0,0.0,0.0,0.0
Q7Z3B3,0.0016181229773462,2.085910903103276e-06,0.0001916613371531,0.8516129032258064
B2RU33,0.0,0.0,0.0,0.0
Q96NR8,0.0007307652155757,2.2493596310221853e-06,0.0001559332389565,0.2967032967032967
Q86W26,0.0,0.0,0.0,0.0
Q6UWJ1,0.0,0.0,0.0,0.0
P12319,0.0019835055851341,6.711180077646693e-05,0.0002093279215707,0.4125177809388335
P49715,0.0048543689320388,0.0001788489679518,0.0002187860807991,0.2138849929873773
Q01201,0.0014093329157532,1.3794535287097935e-05,0.0002075396127554,0.3133903133903133
Q68DV7,0.0006785677001774,7.489024529621007e-06,0.0001917704073221,0.7435897435897436
B3KU38,0.0,0.0,0.0,0.0
Q9Y5Q0,0.0,0.0,0.0,0.0
P15924,0.0008351602463722,6.4228551332915984e-06,0.0001823969944203,0.35
P78352,0.0060549117861989,0.0056715610126941,0.0002216735657259,0.0599700149925037
O95155,0.000991752792567,2.779771604283092e-05,0.0002025189623731,0.1637426900584795
Q8IUK8,5.219751539826704e-05,0.0,0.0001382867695549,0.0
Q9GZX7,5.219751539826704e-05,0.0,0.0001544537367825,0.0
P08134,0.0025054807391168,0.000129685675774,0.0002082287061261,0.1524822695035461
Q9BRK4,0.0,0.0,0.0,0.0
Q9BQG0,0.0042279987472596,0.0001824446659006,0.0002018639764358,0.4648148148148148
O75360,0.0001043950307965,3.779878063600397e-05,0.0001842795115191,0.0
Q9H173,0.0001565925461948,9.466517097292416e-07,0.00017462382023,0.3333333333333333
Q9UBW5,0.0006785677001774,5.497521318892048e-06,0.0001823279201315,0.8589743589743589
O95620,5.219751539826704e-05,0.0,0.0001104582896555,0.0
Q9H0F7,0.0004175801231861,0.0,0.000146811913902,1.0
P37088,0.0011483453387618,9.851198704955664e-05,0.0001997390074626,0.4588744588744589
Q9NY26,0.0003131850923896,1.799316851078283e-07,6.057187006581505e-07,0.4
O15021,0.0,0.0,0.0,0.0
P11908,0.0007307652155757,2.02932145709814e-05,0.0001543711515556,0.3296703296703296
Q9Y5H7,0.0,0.0,0.0,0.0
Q5R3I4,0.0,0.0,0.0,0.0
Q9H920,0.0,0.0,0.0,0.0
Q9HC96,0.0,0.0,0.0,0.0
Q6ZNW5,0.0,0.0,0.0,0.0
Q8N9W5,0.0003131850923896,1.5564435527131664e-06,0.0001477110727519,0.8
P56211,0.0001565925461948,1.1932561992404242e-07,0.0001531891751826,0.3333333333333333
Q9H4B8,0.0,0.0,0.0,0.0
Q5XG92,0.0001043950307965,3.416424400781549e-08,0.0001316071278064,0.0
Q6N075,0.0001043950307965,0.0,1.3214560860320774e-07,0.0
Q15004,0.0032362459546925,0.0001212783906833,0.0002091816331136,0.4865150713907985
O75437,0.0,0.0,0.0,0.0
P51161,0.0005741726693809,4.285729172252255e-05,0.0001843198200564,0.3272727272727272
ENSP00000417556,0.0,0.0,0.0,0.0
Q9BRT3,5.219751539826704e-05,0.0,0.0001424247542822,0.0
Q9UJH8,0.0,0.0,0.0,0.0
Q9UID3,0.0008873577617705,1.160425956551838e-05,0.0001490286310903,0.5882352941176471
Q8NCR6,0.0,0.0,0.0,0.0
P17544,0.000208790061593,0.0,0.0001868946234137,0.8333333333333334
Q9UKY1,0.0001043950307965,5.0378071832527974e-08,0.0001638150004249,0.0
Q9BQ66,0.0,0.0,0.0,0.0
P31415,0.0002609875769913,4.570880283712797e-07,0.0001632202541482,0.6
ENSP00000398526,0.0,0.0,0.0,0.0
Q7Z6L1,0.000208790061593,0.0,0.0001584203130085,0.8333333333333334
Q3MIR4,0.0001565925461948,3.580412772019064e-05,0.000113991757889,0.0
P04035,0.0022444931621254,0.0001484547892728,0.0002005153224214,0.2469545957918051
Q01658,0.000782962730974,6.567949776889522e-06,0.0001885168017625,0.5619047619047619
Q08334,0.0008873577617705,6.725533052105621e-05,0.0001923546831773,0.3088235294117647
Q8NCT1,0.0,0.0,0.0,0.0
Q8NGA5,0.0,0.0,0.0,0.0
Q8NGC7,0.0,0.0,0.0,0.0
Q9UPW5,0.0,0.0,0.0,0.0
O15056,0.0016703204927445,3.985393469696912e-05,0.0001926531345436,0.3508064516129032
P28324,0.0003131850923896,1.289551605972861e-06,0.0001936548843025,0.4
Q6ZNE5,0.001774715523541,8.456333007465688e-06,0.0001858254125076,0.481283422459893
P03891,0.003340640985489,0.0006821811786466,0.000192028442656,0.8065476190476191
P51814,0.0,0.0,0.0,0.0
Q8NE79,0.0002609875769913,7.212680198706399e-05,0.0001697202804659,0.0
Q32M88,5.219751539826704e-05,0.0,0.0001247039374929,0.0
Q8IV16,0.0008351602463722,0.0001156646489149,0.0001751503393189,0.375
ENSP00000454699,5.219751539826704e-05,0.0,0.0001454187393486,0.0
Q8WXU2,0.0004175801231861,0.0001689042619511,0.000175824470755,0.3928571428571428
O94941,0.0,0.0,0.0,0.0
P35212,5.219751539826704e-05,0.0,0.0001698937853999,0.0
Q9UM47,0.0035494310470821,0.0017089206585174,0.0002152608131508,0.0873573309920983
A1L4L8,0.0,0.0,0.0,0.0
Q9H0J4,0.0,0.0,0.0,0.0
P11912,0.0022966906775237,0.0001953618245907,0.0002052735948359,0.3171247357293869
Q13950,0.0066290844555799,0.0008453133236751,0.0002349274404001,0.2100987376577927
Q9Y2C9,0.0006263701847792,5.953819089636312e-07,0.0001876441713077,0.803030303030303
Q8TAD8,0.0038626161394717,0.0004287435924496,0.000201577158505,0.6693817104776009
Q9BYN8,0.0040714062010648,1.400982597565102e-06,0.0001741375179113,0.8125208125208125
P62273,0.0086647875561123,3.691474606741624e-05,0.0002050959593688,0.574662285505659
Q92685,0.0008351602463722,9.403591579792745e-05,0.0001485153332634,0.3916666666666666
Q86YR5,0.0002609875769913,5.154101944504561e-06,0.0001742701251819,0.3
Q6S5H5,0.0,0.0,0.0,0.0
Q9NU63,0.0001043950307965,0.0,0.0001706912804193,1.0
Q6PJE2,0.0,0.0,0.0,0.0
Q9UPE1,0.0,0.0,0.0,0.0
Q9NXT0,0.0,0.0,0.0,0.0
Q9Y606,0.0003653826077878,3.683622829751213e-06,0.0001720913415213,0.238095238095238
Q9BX82,0.0,0.0,0.0,0.0
Q9NWV8,0.0009395552771688,1.989253334828043e-05,0.0001995637178819,0.6470588235294118
O43157,0.0015137279465497,0.0003848254186796,0.0001909154816746,0.1206896551724138
Q9HC10,0.0008873577617705,2.504683627564356e-05,0.0001908573807388,0.5367647058823529
P13646,0.0,0.0,0.0,0.0
O94760,5.219751539826704e-05,0.0,0.0001622648553575,0.0
Q13410,0.0001043950307965,5.106080106410609e-06,0.0001596171856491,0.0
Q8TED9,0.0,0.0,0.0,0.0
Q06732,0.0,0.0,0.0,0.0
Q01974,0.0014615304311514,2.184432590583637e-05,0.0001973785165525,0.4047619047619047
Q9BSY4,0.000782962730974,0.0,0.00015564597363,0.9904761904761904
P61923,0.0006263701847792,2.666784280909413e-06,0.0001687790395806,0.7272727272727273
P08686,0.0008873577617705,6.968883582405167e-07,0.0001495918807982,0.5735294117647058
O00712,0.0009395552771688,9.619165891638281e-08,0.0001680207190377,0.9281045751633988
P32245,0.0004175801231861,4.9610479095239976e-05,0.0001722836981181,0.3214285714285714
Q96C03,0.0002609875769913,6.592973321228659e-06,0.0001624907298653,0.6
Q6PHW0,0.0,0.0,0.0,0.0
P36954,0.0035494310470821,6.954605328925779e-05,0.0001974949532755,0.3902546093064091
Q96KN4,0.0,0.0,0.0,0.0
Q96MN2,0.0005219751539826,2.717917798438107e-05,0.0001949635945762,0.2888888888888888
A6NP11,0.0,0.0,0.0,0.0
O15146,0.0010961478233636,0.0003010779586479,0.0002001586372647,0.3904761904761905
Q6H9L7,0.0,0.0,0.0,0.0
P06730,0.0075164422173504,0.0015196167587672,0.0002170234807162,0.1223776223776223
Q9Y5K1,0.0013049378849566,0.0001371033090623,0.0001794632057859,0.2833333333333333
Q9Y5R4,5.219751539826704e-05,0.0,0.0001333436444197,0.0
Q6YP21,0.0011483453387618,8.092777673051714e-05,0.0001656966132877,0.238095238095238
Q9HC77,0.0012005428541601,3.147527858935437e-05,0.0001844522789487,0.2727272727272727
Q8WUJ0,0.0,0.0,0.0,0.0
Q9GZQ3,0.0013049378849566,2.1747681157657856e-05,0.0001854372748548,0.7233333333333334
Q9H2E6,0.0003653826077878,3.443805250163347e-07,0.0001663699999307,0.5714285714285714
Q02548,0.0005219751539826,1.936098511990409e-06,0.0001830966750601,0.0888888888888888
Q6PIY7,0.0001565925461948,0.0,0.0001560238657253,1.0
Q96DN0,5.219751539826704e-05,0.0,0.0001565512818932,0.0
A6NHG4,0.0,0.0,0.0,0.0
A4D1E1,0.0,0.0,0.0,0.0
Q9BX97,0.0,0.0,0.0,0.0
Q8NGJ4,0.0,0.0,0.0,0.0
Q9ULK2,0.0003131850923896,0.0,0.0001728093172448,1.0
Q68CQ4,0.0057939242092076,1.321013244829974e-05,0.000192061797317,0.6961506961506961
O00257,0.0034450360162856,3.687812438910574e-05,0.0002042434564983,0.4428904428904429
Q9BYB4,0.0,0.0,0.0,0.0
O15482,0.0,0.0,0.0,0.0
Q9GZQ6,0.0001043950307965,0.0,0.0001276912536558,1.0
P55036,0.0061593068169955,0.0004364674746587,0.0002213976674215,0.4689265536723164
P23743,0.0,0.0,0.0,0.0
P25800,0.0003653826077878,8.40211248442557e-07,0.000173256577571,0.7619047619047619
O94992,0.0004697776385844,4.119341808134569e-07,0.0001739849390237,0.4722222222222222
Q5VWK0,0.0,0.0,0.0,0.0
P05387,0.0059505167554024,2.6178412315603988e-05,0.0001989799839047,0.8577860580655178
Q3ZCM7,0.0016181229773462,6.163085943154069e-06,0.0001814884812102,0.6645161290322581
Q05925,0.0,0.0,0.0,0.0
Q7Z3D4,0.0,0.0,0.0,0.0
Q5JPB2,0.0,0.0,0.0,0.0
Q9Y5J7,0.000782962730974,3.7131907558453473e-06,0.0001667773071363,0.5428571428571428
Q9NSB4,0.0,0.0,0.0,0.0
P29084,0.0024532832237185,2.429065274936953e-06,0.0001859190509413,0.6882516188714154
P50553,0.0004175801231861,6.755381066606811e-05,0.000189035855659,0.25
Q8N7P1,5.219751539826704e-05,0.0,0.0001254032086927,0.0
P08519,0.0010961478233636,8.171492224843174e-06,0.0001830305605781,0.6619047619047619
Q06124,0.0126317987263806,0.0051920042044694,0.0002352478734955,0.1130619663248859
P13196,0.0016181229773462,0.0001929669541959,0.0001962513146025,0.1956989247311828
P50895,5.219751539826704e-05,0.0,0.000163129857019,0.0
Q70EK9,5.219751539826704e-05,0.0,0.0001443047455995,0.0
Q96IV0,0.0005219751539826,7.215265633721088e-07,0.0001945280223357,0.7777777777777778
O95201,0.0,0.0,0.0,0.0
C1orf61,0.0,0.0,0.0,0.0
P33121,0.0013571354003549,0.0001222495470945,0.0001959426551352,0.283076923076923
Q8N9I9,0.0,0.0,0.0,0.0
Q9NZQ8,0.0001565925461948,1.2152904531981068e-06,0.0001629898323904,0.6666666666666666
O75746,0.0001043950307965,0.0,0.0001406766327203,1.0
Q92759,0.0029752583777012,1.0891640324288507e-05,0.0001937363354141,0.5194235588972431
Q96NA8,0.0002609875769913,0.0,0.000153401145137,1.0
P53672,0.0,0.0,0.0,0.0
Q9BPV8,0.0001043950307965,0.0,0.0001347500600057,1.0
Q8NGK1,0.0,0.0,0.0,0.0
Q9UKG1,0.0009395552771688,0.0001733601297619,0.0002091544791421,0.0784313725490196
P80294,5.219751539826704e-05,0.0,5.7171429789996763e-08,0.0
Q13075,0.0003653826077878,3.6000875482906095e-05,0.0001730819275597,0.4761904761904761
Q9Y6W3,0.0001565925461948,7.16724211126889e-05,0.0001628248219028,0.0
P57055,0.0,0.0,0.0,0.0
Q8IVM8,0.0,0.0,0.0,0.0
Q15532,0.0014093329157532,7.176902981851114e-05,0.0001790024889744,0.6809116809116809
Q96FA3,0.0005219751539826,5.183930228091863e-07,0.0001887404020188,0.7333333333333333
ENSP00000438507,0.0,0.0,0.0,0.0
P60331,0.0,0.0,0.0,0.0
Q9BQ48,0.0038626161394717,2.860434084497768e-07,0.0001710976548454,0.8800444279896334
Q93050,0.0012527403695584,3.166252187428321e-07,0.000155336093928,0.8731884057971014
O75083,0.0009395552771688,7.849594810517794e-06,0.0001904351127212,0.6013071895424836
O14737,0.0001565925461948,3.074122355549037e-07,0.0001971168876608,0.3333333333333333
Q96S38,5.219751539826704e-05,0.0,0.0001615963531119,0.0
P00966,0.0012527403695584,0.0001174286119099,0.0001825434338525,0.2971014492753623
A6NJL1,0.0,0.0,0.0,0.0
Q9UBV4,0.0018791105543376,1.06345676703089e-06,0.000174931549272,0.7492063492063492
O95235,0.0044367888088526,5.6981746011673696e-05,0.000197955656901,0.4974789915966386
P06702,0.0004175801231861,4.8273632464991456e-08,0.0001819916555966,0.6428571428571429
Q96P64,0.0,0.0,0.0,0.0
O15488,0.000782962730974,7.788458689012302e-05,0.0001932008440123,0.5904761904761905
Q8N6M6,5.219751539826704e-05,0.0,0.000170481999097,0.0
Q7Z442,0.0001043950307965,0.0,1.3403071000981552e-07,0.0
Q9UP38,0.0028708633469046,2.657004908150429e-05,0.0002015918216936,0.463973063973064
O43781,0.0,0.0,0.0,0.0
Q03933,0.0003653826077878,3.611817090024836e-05,0.0001950847538948,0.1904761904761904
Q96S90,0.0,0.0,0.0,0.0
O75400,0.0019313080697358,4.245152183656457e-05,0.0001852622149314,0.4804804804804805
P60709,0.0101263179872638,0.0033556438862344,0.0002461567939878,0.0956145505047807
Q6WCQ1,0.0005219751539826,2.5529968331254247e-05,0.0001951442907368,0.2888888888888888
Q9BX59,5.219751539826704e-05,0.0,0.0001612600509151,0.0
P32242,0.0,0.0,0.0,0.0
Q5SW24,5.219751539826704e-05,0.0,6.07654428384948e-08,0.0
P18075,0.0015137279465497,0.0001192491406305,0.000183927419996,0.4359605911330049
ENSP00000389275,0.0,0.0,0.0,0.0
O75925,0.0032884434700908,0.0002056808958793,0.0002200973987204,0.1310803891449052
Q8IZ08,0.0,0.0,0.0,0.0
Q08211,0.0043845912934544,0.0006560683060944,0.0002152502124141,0.1580608146873207
Q9H6V9,5.219751539826704e-05,0.0,6.133668084402707e-08,0.0
P01008,0.0022444931621254,7.041877420115532e-05,0.0001955402955725,0.1871539313399778
Q9Y5E8,0.0,0.0,0.0,0.0
Q9GZZ7,0.0003653826077878,0.0,0.0001833515998038,0.8571428571428571
Q8TAG5,0.0,0.0,0.0,0.0
Q9Y530,0.0,0.0,0.0,0.0
P17858,0.0013049378849566,2.9133098144770343e-05,0.0001944865404065,0.5266666666666666
P48230,0.0,0.0,0.0,0.0
