node,closeness_centrality
Q8N7C3,0.0003144526565859183
Q8NBZ7,0.0003876797692094552
P55011,0.00043330171106760896
Q8NEL9,0.00039668135326993063
P43320,0.00040620509695613494
Q96JJ6,0.0003738065475111013
Q8NGQ1,0.00044529987970215706
H3BV60,0.0
Q9NRR8,0.00039583316561594745
Q8N1S5,0.0003613853893337214
Q96P15,0.00034333319309931836
Q9Y2V7,0.0004718056632222695
Q15390,0.00037315156580838984
Q9H6Y7,0.00040314488029009454
O15525,0.0004261414032374949
A6NH52,0.0003630972777809103
Q8IYF3,0.00041280624685944737
P02655,0.0004456922134492685
P01023,0.0004693203581613785
Q9HBT6,0.0004298129370952193
Q9UBP0,0.0004266781535281757
Q9BRK0,0.00040996803074812884
O94759,0.0004033341396000318
O14745,0.0004714379022208616
Q13616,0.0005039441603635435
Q9Y2Z2,0.0004010443567997021
O14817,0.0004053454030975264
Q9UIR0,0.00038653338337274457
Q8NA66,0.00034023297929805567
Q8N5D6,0.0003926384575401982
Q9UL03,0.0004285035554673835
Q6ZTQ3,0.000388767767813004
A6NCL2,0.0003431626537913644
Q8IVW6,0.0003899429495419264
Q9H1Z4,0.0004194677728972741
Q07157,0.0004979475935022952
Q86YD5,0.00036562930275705604
Q96NX9,0.00037018030550134705
Q5VU36,0.0
ENSP00000475702,0.0003303727896586448
Q9H4W6,0.0003952250237453618
Q13608,0.000451396601228397
Q9NQ31,0.0004371970621841589
Q8N490,0.00040302942346929376
P60606,0.0003178420545871592
O60244,0.0004651284783432593
O43688,0.0004083091679538015
P09466,0.0004166876639263329
Q7RTU1,0.00034830866350563333
Q8TF09,0.00042411426161537505
Q14D04,0.0003760674591218111
Q86VZ1,0.0004178393745446905
Q8WX94,0.0003927957256413076
P41227,0.00046816370568104925
P62166,0.00041875964073336534
Q15334,0.0004385230266079373
P53675,0.00048076969324449613
Q4G0A6,0.0003246334693208894
Q6XZF7,0.0004033585036965587
P53801,0.0004095236860945923
P21397,0.0004258877201921147
Q86VF7,0.0003896071967171051
GJA9-MYCBP,0.0003735446497244714
Q9UKL6,0.00038054995203792125
Q8NBT3,0.0003757521499457254
Q2NL67,0.0004171619395668601
P0C875,0.0003416586420868144
Q16647,0.00041121642765199373
Q96PF1,0.0003078791557456466
P14923,0.00045205108391765275
Q9NYX4,0.0003621380512798221
P20839,0.00044626481421032837
P48637,0.0004275183631853894
Q9H974,0.0003786636706448616
O60503,0.00047560712654741574
P51911,0.0004242005406661175
P51530,0.00046804480205288947
O43505,0.00039233553747502196
Q6NSJ0,0.00034629685706925525
Q16832,0.0004444651382921871
Q5T749,0.00036778359196023295
Q8WXH6,0.00037646982130869026
P83859,0.0003868083301360847
Q9H3M7,0.0004604567195680681
Q9P2E5,0.0003903686524286088
Q2NKQ1,0.00041597752586180944
Q9UPU3,0.00039384521345905234
Q9HCX4,0.00041982241412477015
P24522,0.00046503852259913804
Q9C005,0.00047440602632278306
Q6P4D5,0.0003036395297610342
Q6ZMT4,0.0005017378669578406
Q2TBA0,0.0004355319646471441
Q13951,0.0005075460590678549
P53602,0.00041093418546564936
Q96IQ7,0.0003715752568325379
Q9P232,0.0003991689898067789
P78380,0.00045123199644705526
Q8NB37,0.0003509226315098895
P16885,0.0005099664446888628
O75153,0.0004112365159468897
Q8NFZ6,0.0003585332896883533
Q9UBV2,0.0004693482300827378
Q9H9E3,0.0004662120438371267
Q6NUS8,0.0003996819437765578
Q6P5Z2,0.00040788616986351154
P37058,0.00042027815122488673
C7orf34,0.0003046296355542862
Q4J6C6,0.00039830263787219377
P00797,0.00048081859071547387
Q5HYM0,0.0003372671995978075
A8MVS5,0.0
Q9BZX4,0.0003300887058950263
FBLL1,0.0004715072197023707
Q66K74,0.00041955709575386586
Q9BRQ0,0.00043556867247303624
Q96IP4,0.0003809510111154586
O75533,0.0004940088506063389
A1L453,0.00032449690240602156
P57052,0.0003835833862890698
Q9Y5I0,0.0
Q6QHK4,0.0003959919759083438
P61254,0.000490614231868094
Q14166,0.00044024705199442396
S100A7L2,0.00032885120783824836
Q99720,0.0004647335995840963
Q9BUN8,0.00047442878147799163
Q9Y2U9,0.000388837751505682
Q8N8E2,0.0004114059396549566
P56277,0.00036150793343735655
Q9P289,0.0004218493460215838
Q8TAE6,0.00042183188801132957
Q7Z736,0.0
P11169,0.00045347915714767244
Q6ZNE9,0.0003740103522584315
Q7Z403,0.0003904138614361675
Q9NRW1,0.0004530651005639008
Q8WXD0,0.0003846315513224645
P05546,0.0004317010083521993
Q9BXX0,0.0003092035003116644
